TYPE	NUMBER	KEYWORD	ORGANIC	URL	TITLE	DESCRIPTION	PAGE	FLAG_HACKED	FLAG_HARMFUL	STAT_RESULTCOUNT
result	21	statistics	organic	https://stat.cornell.edu/	Cornell University Department of Statistical Science	Each year our graduates go on to opportunities with companies around the world. See what possibilities are in store here. Alumni Profiles · Career Resources. The Department of Statistical Science at Cornell University is hiring!! We invite applications for tenured, tenure-track, and lecturer positions. Find out more here.	1	0	0	1430000000
result	22	statistics	organic	https://en.wiktionary.org/wiki/statistics	statistics - Wiktionary	Etymology 1[edit]. From German Statistik, from New Latin statisticum (“of the state”) and Italian statista (“statesman, politician”). Statistik introduced by Gottfried Achenwall (1749), originally designated the analysis of data about the state. Noun[edit]. statistics (uncountable). A mathematical science concerned with data ...	1	0	0	1430000000
result	23	statistics	organic	http://asq.org/statistics	ASQ Statistics Division	Welcome. The ASQ Statistics Division supports members in fulfilling their professional needs and aspirations in the application of statistics, and development of techniques to improve quality and performance. Please use the links on the left to access a variety of content available to you or to learn more about getting involved ...	1	0	0	1430000000
result	24	statistics	organic	https://www.ted.com/topics/statistics	Ideas about Statistics - TED Talks	A collection of TED Talks (and more) on the topic of statistics.	1	0	0	1430000000
result	25	statistics	organic	http://www.oecd.org/sdd/	Statistics and Data Directorate - OECD	Our working methods. OECD statistical programme of work · Quality framework for statistical activities · Statistical Data and Metadata eXchange (SDMX) · Statistical Information System (SIS) ...	1	0	0	1430000000
result	26	statistics	organic	https://docs.microsoft.com/en-us/sql/relational-databases/statistics/statistics	Statistics | Microsoft Docs	Dec 18, 2017 - The Query Optimizer uses statistics to create query plans that improve query performance. For most queries, the Query Optimizer already generates the necessary statistics for a high quality query plan; in some cases, you need to create additional statistics or modify the query design for best results.	1	0	0	1430000000
result	27	statistics	organic	http://www.itu.int/en/ITU-D/Statistics/Pages/stat/default.aspx	Statistics - ITU	Jan 4, 2018 - ICT Eye. Visit the ICT Eye, the one stop-shop for ICT information that provides telecommunication/ICT indicators and statistics, regulatory and policy profiles and more.​. ABOUT US; FAQs; CONTACT ...	1	0	0	1430000000
result	28	statistics	organic	http://stat.columbia.edu/	Department of Statistics - Columbia University	... Award from the National Council on Measurement in Education · Yunxiao Chen is the recipient of the 2018 Brenda Loyd Outstanding Dissertation Award from the National Council on Measurement in Education for his Columbia PhD thesis. Yunxiao Chen completed his Ph.D. in Statistics at Columbia University (2016).	1	0	0	1430000000
result	29	statistics	organic	https://www.stat.wisc.edu/	Department of Statistics: Home	The Statistics Department at the University of Wisconsin-Madison was established in 1960 by Professor George Box. The original philosophy on the organizational structure was to have most Statistics faculty in one central department but also to have faculty with interests in applications of statistics to a wide variety of ...	1	0	0	1430000000
result	30	statistics	organic	http://statistics.ucla.edu/	UCLA Statistics | Website	UCLA (University of California, Los Angeles) is the largest UC campus in terms of enrollment, and one of the few public research universities located in a major city.	1	0	0	1430000000
result	31	statistics	organic	http://www.stat.cmu.edu/	CMU Statistics	Homepage for the Department of Statistics at Carnegie Mellon University.	1	0	0	1430000000
result	32	statistics	organic	https://www.coursera.org/courses?languages=en&query=statistics	Statistics Courses | Coursera	Learn Statistics online from 279 Statistics courses from top institutions like University of Amsterdam and Duke University. Build career skills in Data Science, Business, and more.	1	0	0	1430000000
result	33	statistics	organic	https://www.stat.washington.edu/	Home | University of Washington Department of Statistics	JSM Best Student Paper Award. Congratulations to Alex Tank for winning a JSM Best Student Paper Award from the Business and Economic Statistics Section (B&E) of the American Statistical Association for his paper “Granger… more ...	1	0	0	1430000000
result	34	statistics	organic	http://www.statsoft.com/Textbook	Big Data, Data Mining, Predictive Analytics, Statistics, StatSoft ...	StatSoft Electronic Statistics Textbook is free and provided as a service to the public.	1	0	0	1430000000
result	35	statistics	organic	https://www.wolframalpha.com/examples/Statistics.html	Wolfram|Alpha Examples: Statistics & Data Analysis	Get answers to your statistics and data analysis questions with interactive calculators. Basic descriptive statistics to regression analysis, statistical distributions and probability.	1	0	0	1430000000
result	36	statistics	organic	https://www.stat.ucdavis.edu/	Home | Department of Statistics	Statistics uses tools from mathematics, probability and computing to develop specific statistical approaches for prediction, classification, learning, estimation and hypothesis testing. UC Davis Statistics faculty pursue vigorous research programs at the forefront of current developments and engage in a large array of ...	1	0	0	1430000000
result	37	statistics	organic	https://statistics.wharton.upenn.edu/	Wharton Statistics Department - Statistics Department	The aim of statistical modeling is to empower effective decision making, and the unique contribution of the field is its ability to incorporate multiple levels of uncertainty in the framing of wise decisions. Over the last few years, the development of new computational tools and the unprecedented evolution of “big data” have ...	1	0	0	1430000000
result	38	statistics	organic	http://imstat.org/ss/	Statistics Surveys - Institute of Mathematical Statistics	Statistics Surveys publishes survey articles in theoretical, computational, and applied statistics. The style of articles may range from reviews of recent research to graduate textbook exposition. Articles may be broad or narrow in scope. The essential requirements are a well specified topic and target audience, together with ...	1	0	0	1430000000
result	39	statistics	organic	https://www.ck12.org/c/statistics/	Statistics | CK-12 Foundation	The study of statistics involves the collection, organization, analysis, and presentation of data and numbers.	1	0	0	1430000000
result	40	statistics	organic	https://www.bis.org/statistics/index.htm	About BIS statistics - Bank for International Settlements	The statistics published by the BIS are a unique source of information about the structure of and activity in the global financial system. They are compiled in cooperation with central banks and other national authorities and are designed to inform analysis of financial stability, international monetary spillovers and global ...	1	0	0	1430000000
result	41	statistics	organic	https://unstats.un.org/	UNSD — Welcome to UNSD	United Nations Statistics Division - Welcome to UNSD.	1	0	0	1430000000
result	42	statistics	organic	http://www.stat.ufl.edu/vlib/statistics.html	The World-Wide Web Virtual Library: Statistics	May 1, 2017 - The World Wide Web Virtual Library: Statistics. This page is being brought to you by the folks at The University of Florida's Department of Statistics. The "book and globe" logo is the trademark of the WWW Virtual Library.	1	0	0	1430000000
result	43	statistics	organic	http://www.fao.org/statistics/en/	Statistics | Food and Agriculture Organization of the United Nations	FAO develops methods and standards for food and agriculture statistics, provides technical assistance services and disseminates data for global monitoring. Statistical activities at FAO include the development and implementation of methodologies and standards for data collection, validation, processing and analysis.	1	0	0	1430000000
result	44	statistics	organic	http://www.espn.com/nhl/statistics	NHL Hockey Statistics and League Leaders - National Hockey League ...	National Hockey League (NHL) statistics and league leaders on ESPN.com.	1	0	0	1430000000
result	45	statistics	organic	https://stat.illinois.edu/	Statistics at Illinois	Professor Xiaohui Chen of Statistics has been awarded a prestigious National Science Foundation (NSF) CAREER Award for his work titled as "Computer-Intensive Statistical Inference on High-Dimensional and Massive Data: From Theoretical Foundations to Practical Computations." NSF CAREER awards are one of the ...	1	0	0	1430000000
result	46	statistics	organic	http://sc.edu/study/colleges_schools/artsandsciences/statistics/index.php	Department of Statistics - University of South Carolina	Statistics has applications in everything from manufacturing design to marketing or education. Not only that, it's consistently rated as one of the best jobs by numerous publications due to the high demand for statisticians, good working conditions and high salaries.	1	0	0	1430000000
result	47	statistics	organic	https://lsa.umich.edu/stats	Statistics | U-M LSA Department of Statistics - Lsa.umich.edu…	Statistics. Announcing the Data Science Master's Program A new collaborative program with the Department of Electrical Engineering and Computer Sciences, the Department of Statistics, the School of Information and the Department of Biostatistics. We are thrilled to offer a one of a kind program! Welcome to the ...	1	0	0	1430000000
result	48	statistics	organic	https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5556	Statistics | NSF - National Science Foundation	The Statistics Program supports research in statistical theory and methods, including research in statistical methods for applications to any domain of science and engineering. The theory forms the base for statistical science. The methods are used for stochastic modeling, and the collection, analysis and interpretation of ...	1	0	0	1430000000
result	49	statistics	organic	https://www.stat.missouri.edu/	Statistics	DataFest Mizzou 2018. Friday, April 6, 2018 (All day) to Saturday, April 7, 2018 (All day). Hosted Conference · Statistics Department Spring Picnic. Saturday, April 21, 2018 - 11:00am to 2:30pm. Other Event ...	1	0	0	1430000000
result	50	statistics	organic	http://www.uakron.edu/statistics/	Statistics : The University of Akron	Welcome to Statistics. Statistics is the discipline that deals with the collection, analysis, interpretation and presentation of data. It can be applied to a wide array of academic areas, from biology, chemistry and anthropology to geography, political science and sociology. Because it is used as a basis for logical, informed ...	1	0	0	1430000000
result	51	statistics	organic	https://www.tandfonline.com/loi/gsta20	Statistics - Taylor & Francis Online	Publication history. Currently known as: Statistics: A Journal of Theoretical and Applied Statistics (1985 - current). Formerly known as. Series Statistics (1977 - 1984). Formerly part of. Mathematische Operationsforschung und Statistik (1970 - 1976). List of issues. Latest articles · Volume 52 2018 · Volume 51 2017 ...	1	0	0	1430000000
result	52	statistics	organic	http://unctad.org/en/Pages/statistics.aspx	UNCTAD | Statistics	Statistics is an inherent part of UNCTAD. Being the United Nations' focal point for the integrated treatment of trade and development and the interrelated issues in the areas of finance, technology, investment and sustainable development, UNCTAD compiles, validates and processes a wide range of data collected from ...	1	0	0	1430000000
result	53	statistics	organic	https://stat.iastate.edu/	Department of Statistics	Welcome to the Department of Statistics and the Statistical Laboratory. The Statistical Laboratory, established by George W. Snedecor in 1934, was the first of its kind in the nation. The Department of Statistics was established in 1947 and it is housed in Snedecor Hall on the Iowa State University Campus in Ames, Iowa.	1	0	0	1430000000
result	54	statistics	organic	https://www.mathworks.com/products/statistics.html	Statistics and Machine Learning Toolbox - MATLAB - MathWorks	Statistics and Machine Learning Toolbox™ provides functions and apps to describe, analyze, and model data. You can use descriptive statistics and plots for exploratory data analysis, fit probability distributions to data, generate random numbers for Monte Carlo simulations, and perform hypothesis tests. Regression and ...	1	0	0	1430000000
result	55	statistics	organic	https://socialresearchmethods.net/kb/statinf.php	Social Research Methods - Knowledge Base - Inferential Statistics	With inferential statistics, you are trying to reach conclusions that extend beyond the immediate data alone. For instance, we use inferential statistics to try to infer from the sample data what the population might think. Or, we use inferential statistics to make judgments of the probability that an observed difference between ...	1	0	0	1430000000
result	56	statistics	organic	https://apstudent.collegeboard.org/apcourse/ap-statistics	AP Statistics – Students – AP Courses – The College Board	AP's high school Statistics course is a rigorous, college-level class that provides an opportunity to gain the skills and experience colleges recognize.	1	0	0	1430000000
result	57	statistics	organic	http://www.meti.go.jp/english/statistics/index.html	Statistics|METI	2018.3.13: Report on Indices of Tertiary Industry Activity (January 2018); 2018.3.9: Spot LNG Price Statistics (February 2018); 2018.2.28: Preliminary Report on Petroleum Statistics (January 2018); 2018.2.28: Preliminary Report on the Current Survey of Commerce (January 2018); 2018.2.28: Preliminary Report on Indices ...	1	0	0	1430000000
result	58	statistics	organic	https://www.eeoc.gov/eeoc/statistics/	Statistics - EEOC	Statistics. EEOC Enforcement and Litigation Statistics · Employment Statistics · Equal Employment Opportunity Data Posted Pursuant to the No Fear Act · Special Reports · Census 2000 Special EEO File · CONNECT WITH US · RSS News Feed · Twitter en Español · Facebook · YouTube Channel · Get Email Updates.	1	0	0	1430000000
result	59	statistics	organic	https://www.aip.org/statistics	Statistical Research Center | American Institute of Physics	AIP's Statistical Research Center has the latest data to learn more on education and employment trends in physics, astronomy, and other physical sciences.	1	0	0	1430000000
result	60	statistics	organic	https://www.usnews.com/best-graduate-schools/top-science-schools/statistics-rankings	Best Graduate Statistics Programs | US News Rankings	Interested in a graduate degree in statistics? See the top ranked statistics programs at US News. Use the best statistics program rankings to find the right graduate program for you .	1	0	0	1430000000
result	61	statistics	organic	https://www.stat.ncsu.edu/	NC State Department of Statistics	To achieve excellence in research, teaching, mentoring, consulting and collaboration on campus and world-wide within a cohesive and diverse department where all students, faculty, and staff receive fair and equitable treatment. 1; 2; 3. Previous; Next ...	1	0	0	1430000000
result	62	statistics	organic	https://www.niddk.nih.gov/health-information/health-statistics/overweight-obesity	Overweight & Obesity Statistics | NIDDK	Describes the prevalence of overweight and obesity among adults in the United States by providing statistics.	1	0	0	1430000000
result	63	statistics	organic	https://stat.uconn.edu/	Department of Statistics	The Department of Statistics at the University of Connecticut was founded in 1962. As one of the major statistics departments in New England, it provides outstanding preparation for careers in academia, industry, or government. With a core faculty of 20 professors whose teaching and research interests span virtually all ...	1	0	0	1430000000
result	64	statistics	organic	https://oli.org/about-us/news/statistics	Statistics | Operation Lifesaver, Inc.	Latest Rail Safety Statistics from the Federal Railroad Administration. Crossing and Trespass Statistics. Visit the Federal Railroad Administration's Office of Safety Analysis for the most recent, detailed railroad safety statistics, including state-specific information about highway-rail grade crossing and pedestrian-rail trespass ...	1	0	0	1430000000
